Habitat,HABITAT_CODE
Aggregate reef,AGR
Aggregate patch reef,APR
Aggregate patch reefs,APS
Pavement,PAV
Pavement with patch reefs,PPR
Pavement with sand channels,PSC
Boulder/rock,ROB
Reef rubble,RRB
Spur and groove,SAG
Sand with coral and rock,SCR
