unique,Bex.Turner,ed0ard0sena,jonathan.charendoff,leerm,mskye13,samantha.darin,count
PAG-631_2017_A_17_3214_3584,UNK,TURFH,RUB,TURFH,TURFH,CCAH,4
PAG-636_2017_A_09_1576_2199,TURFH,TURFH,ZO,UPMA,EMA,EMA,4
PAG-636_2017_A_09_382_461,GRMA,ZO,ZO,UI,ZO,USC,4
PAG-639_2017_A_24_1764_2774,ENC,ASSP,ASSP,POMA,ASSP,PAEN,4
PAG-642_2017_A_26_614_582,TURFH,FAVS,LEPT,LEPT,LEPT,GONS,4
PAG-655_2017_A_12_2455_3153,TURFH,POMA,POEN,POEN,MOEN,POCS,5
PAG-671_2017_A_27_3403_1407,ENC,ASTS,CYPS,FAVS,CYPS,CYPS,4
PAG-693_2017_A_19_1467_2498,PAMA,TURFH,FASP,CCAH,FASP,TURFH,4
PAG-713_2017_A_05_533_608,TAPE,TURFH,SAND,TURFH,TURFH,TURFR,4
PAG-732_2017_A_02_7_2588,TURFH,TURFH,HALI,UPMA,TURFH,BGMA,4
PAG-747_2017_A_25_3521_916,SHAD,TURFH,CYPS,ASSP,CYPS,CYPS,4
PAG-836_2017_A_15_1498_2567,CCAH,EMA,PESP,TURFH,TURFH,CCAH,4
PAG-836_2017_A_15_3374_1490,SHAD,TURFH,PESP,CCAH,TURFH,TURFH,4
PAG-886_2017_A_13_3609_1558,TURFH,FAVS,PAMA,TURFH,PAMA,PAEN,4
PAG-891_2017_B_04_14_1264,TURFH,HARD,UNK,TURFH,TURFH,CCAH,4
ROT-840_IMG_1799_568_2866,PESP,EMA,EMA,TURFH,EMA,BGMA,4
ROT-848_IMG_0902_1073_3470,CCAH,TURFH,DICT,UPMA,TURFH,BRMA,5
ROT-848_IMG_0902_1323_2002,CCAH,HALI,HALI,UPMA,HALI,SAND,4
ROT-848_IMG_0903_1028_1283,TURFH,EMA,MICR,TURFH,TURFH,UPMA,4
ROT-UNK_IMG_5773_1540_557,TURFH,RDMA,CCAH,TURFR,TURFH,TURFH,4
ROT-UNK_IMG_5773_2735_3499,PESP,TURFH,MICR,UPMA,TURFH,HALI,5
ROT-UNK_IMG_5773_2864_1429,TURFH,RDMA,CCAH,TURFR,TURFH,TURFH,4
SAI-1857_IMG_1868_393_1780,EMA,PESP,PESP,TURFH,SP,PESP,4
SAI-1858_IMG_1828_5227_2638,HALI,TURFH,PESP,TURFH,TURFH,BGMA,4
SAI-1909_IMG_0735_3084_1240,SP,MOEN,TURFH,MOEN,MOEN,BGMA,4
SAI-1909_IMG_0735_564_915,TURFH,CCAH,POEN,CCAH,UNK,CCAH,4
SAI-1916_IMG_0510_2819_260,CCAH,TURFH,RDMA,UPMA,TURFH,TURFH,4
SAI-1918_IMG_0604_2449_2691,PESP,TURFH,EMA,TURFH,TURFH,BGMA,4
SAI-1921_IMG_0550_1564_5393,TURFH,UPMA,GRMA,UPMA,RDMA,TURFH,4
SAI-1921_IMG_0550_2295_2759,TURFH,UPMA,HALI,UPMA,RDMA,TURFH,4
SAI-1921_IMG_0550_2839_2935,HALI,CCAH,RDMA,UPMA,RDMA,TURFH,5
TIN-838_IMG_1104_3618_1974,CCAH,PESP,TURFH,TURFH,TURFH,BGMA,4
TIN-855_IMG_9718_3167_2867,SHAD,ASSP,SHAD,PHSP,FASP,PESP,5
