"","unique","jonathan.charendoff","leerm","Bex.Turner","ed0ard0sena","samantha.darin","mskye13","michaela.wong","kaylyn.mccoy","count"
"226","ROT-840_IMG_1799_2165_4835","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH",2
"227","ROT-840_IMG_1799_2731_2024","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH",2
"228","ROT-845_IMG_1917_1855_3211","CCAH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"229","ROT-845_IMG_1917_2332_4412","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"230","ROT-845_IMG_1926_338_150","TURFH","TURFH","PESP","TURFH","TURFH","TURFH","TURFH","TURFH",2
"231","ROT-845_IMG_1926_2691_1704","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","GRMA","TURFH",2
"232","ROT-848_IMG_0902_295_927","TURFH","UPMA","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"233","ROT-848_IMG_0902_4591_2421","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UPMA",2
"234","ROT-848_IMG_0903_1671_2347","CCAH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH","CCAH",2
"235","ROT-848_IMG_0903_3290_3200","CCAH","CCAH","CCAH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"236","ROT-848_IMG_0903_3383_3211","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH",2
"237","ROT-866_IMG_2363_459_2214","MOBF","MOBF","SHAD","MOBF","MOBF","MOBF","MOBF","MOBF",2
"238","ROT-866_IMG_2363_1189_2721","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UPMA",2
"239","ROT-866_IMG_2363_2431_137","TURFH","TURFH","SAND","TURFH","TURFH","TURFH","TURFH","TURFH",2
"240","ROT-866_IMG_2363_2382_3641","CCAH","TURFH","TURFH","TURFH","CCAH","CCAH","TURFH","CCAH",2
"241","ROT-UNK_IMG_5773_2489_36","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"242","SAI-1820_IMG_0893_289_2420","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UNK",2
"243","SAI-1820_IMG_0893_1643_1506","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"244","SAI-1820_IMG_0893_2592_379","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"245","SAI-1820_IMG_0893_3842_1891","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"246","SAI-1820_IMG_0893_5013_2348","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"247","SAI-1822_IMG_2077_61_2238","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"248","SAI-1822_IMG_2077_1296_4887","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"249","SAI-1822_IMG_2077_1688_42","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"250","SAI-1822_IMG_2077_2073_2636","CCAH","TURFH","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"251","SAI-1822_IMG_2077_2809_4992","POEN","MOEN","POEN","MOEN","MOEN","MOEN","MOEN","MOEN",2
"252","SAI-1822_IMG_2077_3042_2844","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"253","SAI-1822_IMG_2102_289_3026","TURFH","TURFH","CCAH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"254","SAI-1822_IMG_2102_73_2966","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"255","SAI-1822_IMG_2102_1655_1043","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"256","SAI-1822_IMG_2102_3961_1700","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"257","SAI-1822_IMG_2102_3965_3395","TURFH","TURFH","POCS","TURFH","TURFH","TURFH","TURFH","POCS",2
"258","SAI-1822_IMG_2102_4945_1656","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"259","SAI-1838_IMG_0564_2029_519","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"260","SAI-1838_IMG_0564_1766_448","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"261","SAI-1838_IMG_0564_2388_947","GONS","GONS","PAMA","GONS","GONS","GONS","GONS","GONS",2
"262","SAI-1838_IMG_0564_2894_2890","CCAH","CCAH","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"263","SAI-1838_IMG_0564_3602_1083","CCAH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"264","SAI-1852_IMG_1774_147_5089","TURFH","TURFH","SAND","SAND","TURFH","TURFH","TURFH","SAND",2
"265","SAI-1852_IMG_1774_782_575","SAND","TURFH","SAND","TURFH","TURFH","SAND","TURFH","SAND",2
"266","SAI-1852_IMG_1774_2003_358","SAND","TURFH","SAND","TURFH","TURFH","SAND","SAND","SAND",2
"267","SAI-1852_IMG_1774_1560_2483","CCAH","CCAH","CCAR","CCAH","CCAH","CCAH","CCAH","CCAR",2
"268","SAI-1852_IMG_1774_2030_3594","TURFH","TURFH","SAND","TURFH","TURFH","TURFH","TURFH","SAND",2
"269","SAI-1852_IMG_1774_3384_2724","SAND","TURFH","SAND","TURFH","TURFH","TURFH","TURFH","SAND",2
"270","SAI-1854_IMG_0691_2475_415","FASP","PHSP","PHSP","PHSP","FASP","FASP","FASP","FASP",2
"271","SAI-1854_IMG_0691_4421_514","ASSP","ENC","ENC","ASSP","ASSP","ASSP","ASSP","ASSP",2
"272","SAI-1854_IMG_0691_4854_3384","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"273","SAI-1857_IMG_1868_1094_285","ASSP","ASSP","ASSP","ASSP","ASSP","ASSP","ASSP","ECHP",2
"274","SAI-1857_IMG_1868_1789_2681","TURFH","TURFH","TURFH","TURFH","BGMA","TURFH","TURFH","TURFH",2
"275","SAI-1857_IMG_1868_2380_1985","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","RDMA",2
"276","SAI-1857_IMG_1868_2629_2941","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","RDMA",2
"277","SAI-1857_IMG_1868_3272_495","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"278","SAI-1858_IMG_1828_4844_1238","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UPMA",2
"279","SAI-1888_IMG_9809_2084_3486","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UPMA",2
"280","SAI-1888_IMG_9809_4466_3626","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UPMA",2
"281","SAI-1909_IMG_0714_431_2582","TURFH","TURFH","TURFH","TURFH","CCAH","CCAH","TURFH","CCAH",2
"282","SAI-1909_IMG_0714_911_38","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH",2
"283","SAI-1909_IMG_0714_760_4683","CCAH","TURFH","CCAH","TURFH","CCAH","CCAH","TURFH","TURFH",2
"284","SAI-1909_IMG_0714_2328_67","STYS","STYS","STYS","STYS","STYS","STYS","STYS","POCS",2
"285","SAI-1909_IMG_0714_2794_3576","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"286","SAI-1909_IMG_0714_2859_4596","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH",2
"287","SAI-1909_IMG_0714_3251_1506","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH","TURFH","CCAH",2
"288","SAI-1909_IMG_0714_3543_2485","POCS","POCS","POCS","POCS","POCS","POCS","POCS","ACBR",2
"289","SAI-1909_IMG_0735_854_1364","TURFH","TURFH","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"290","SAI-1909_IMG_0735_590_2682","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","SHAD",2
"291","SAI-1909_IMG_0735_4928_3304","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH","CCAH",2
"292","SAI-1915_IMG_9876_3522_1191","TURFH","TURFH","GASP","TURFH","TURFH","GASP","TURFH","GASP",2
"293","SAI-1915_IMG_9876_2974_1381","BGMA","TURFH","TURFH","BGMA","BGMA","TURFH","TURFH","BGMA",2
"294","SAI-1915_IMG_9876_3287_2591","ASSP","ASSP","ASSP","ASSP","ASSP","ASSP","ASSP","CYPS",2
"295","SAI-1915_IMG_9876_3607_4671","MOEN","MOEN","ENC","MOEN","MOEN","MOEN","MOEN","MOEN",2
"296","SAI-1916_IMG_0506_546_1086","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"297","SAI-1916_IMG_0506_1632_3515","PESP","PESP","LOBO","PESP","PESP","PESP","PESP","PESP",2
"298","SAI-1916_IMG_0506_2217_1707","GOAL","TURFH","TURFH","TURFH","GOAL","GOAL","GOAL","GOAL",2
"299","SAI-1916_IMG_0510_1601_860","PESP","PESP","RDMA","PESP","PESP","PESP","PESP","PESP",2
"300","SAI-1916_IMG_0510_1758_4061","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","TURFH","CCAH",2
"301","SAI-1918_IMG_0604_1907_909","TURFH","TURFH","CCAH","CCAH","CCAH","TURFH","TURFH","TURFH",2
"302","SAI-1918_IMG_0604_1687_1723","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH","TURFH","TURFH",2
"303","SAI-1918_IMG_0604_2551_437","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"304","SAI-1918_IMG_0604_3411_453","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"305","SAI-1918_IMG_0604_3408_3634","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"306","SAI-1918_IMG_0604_4737_804","SP","SP","SP","SP","SP","SP","SP","UI",2
"307","SAI-1921_IMG_0550_880_1015","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"308","SAI-1921_IMG_0550_2411_1869","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA","TURFH",2
"309","SAI-1921_IMG_0552_1523_1541","GOAL","GOAL","GASP","GOAL","GOAL","GOAL","GOAL","GOAL",2
"310","SAI-1921_IMG_0552_1901_5235","HALI","TURFH","HALI","TURFH","TURFH","TURFH","HALI","HALI",2
"311","SAI-1921_IMG_0552_2555_3084","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"312","SAI-1921_IMG_0552_2920_1551","TURFH","TURFH","HALI","TURFH","TURFH","TURFH","TURFH","HALI",2
"313","TIN-838_IMG_1104_4854_2096","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"314","TIN-855_IMG_9718_780_1137","POCS","POCS","POCS","POCS","POCS","POCS","POCS","ACBR",2
"315","TIN-855_IMG_9718_2066_2349","TURFH","TURFH","FINE","TURFH","TURFH","TURFH","TURFH","TURFH",2
"316","TIN-855_IMG_9718_2931_482","TURFH","TURFH","TURFH","TURFH","PESP","TURFH","TURFH","TURFH",2
"317","TIN-855_IMG_9718_2952_1726","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA","TURFH",2
"318","TIN-855_IMG_9718_4833_252","HALI","NEOM","HALI","HALI","HALI","HALI","HALI","HALI",2
"319","TIN-855_IMG_9718_5093_2456","TURFH","TURFH","HALI","TURFH","TURFH","TURFH","TURFH","TURFH",2
"320","TIN-855_IMG_9723_483_2033","EMA","TURFH","TURFH","TURFH","TURFH","EMA","EMA","TURFH",2
"321","TIN-855_IMG_9723_3465_139","POMA","POMA","POMA","POMA","POMA","POMA","POMA","PAMA",2
"322","TIN-855_IMG_9725_1768_73","HALI","TURFH","HALI","TURFH","TURFH","TURFH","HALI","HALI",2
"323","TIN-855_IMG_9725_1806_465","HALI","HALI","HALI","HALI","SAND","HALI","HALI","HALI",2
"324","TIN-855_IMG_9725_2523_150","CCAH","CCAH","CCAH","CCAH","CCAH","RDMA","CCAH","CCAH",2
"325","TIN-855_IMG_9725_5264_1413","CCAH","TURFH","CCAH","CCAH","CCAH","TURFH","TURFH","CCAH",2
"326","TIN-868_IMG_1956_1920_4776","CCAH","TURFH","CCAH","CCAH","TURFH","TURFH","TURFH","TURFH",2
"327","TIN-868_IMG_1956_3364_5402","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH","TURFH",2
"328","TIN-868_IMG_1956_3334_5226","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH","TURFH",2
"329","TIN-885_IMG_0741_1570_4","TURFH","TURFH","GRMA","TURFH","TURFH","TURFH","TURFH","TURFH",2
"330","TIN-885_IMG_0741_3534_1107","HALI","TURFH","HALI","TURFH","TURFH","TURFH","HALI","HALI",2
"331","TIN-896_IMG_9790_117_2438","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"332","TIN-896_IMG_9790_730_1038","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"333","TIN-896_IMG_9790_930_1796","TURFH","TURFH","PESP","TURFH","PESP","TURFH","TURFH","TURFH",2
"334","TIN-896_IMG_9790_1211_2587","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"335","TIN-896_IMG_9790_1120_5447","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"336","TIN-896_IMG_9790_2753_1213","TURFH","TURFH","SHAD","TURFH","TURFH","SHAD","TURFH","SHAD",2
