"","unique","jonathan.charendoff","leerm","Bex.Turner","ed0ard0sena","samantha.darin","mskye13","michaela.wong","kaylyn.mccoy","count"
"58","FDP-251_2017_A_24_1370_1483","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"59","FDP-251_2017_A_24_1626_1715","EMA","TURFH","TURFH","TURFH","EMA","TURFH","TURFH","TURFH",2
"60","FDP-251_2017_A_24_1229_3120","TURFR","TURFH","TURFR","TURFR","TURFH","TURFH","TURFH","TURFR",2
"61","FDP-251_2017_A_24_1241_3920","TURFR","TURFH","TURFR","TURFH","TURFH","TURFH","TURFH","TURFH",2
"62","FDP-251_2017_A_24_2345_3848","SAND","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","SAND",2
"63","FDP-254_2017_A_16_788_2832","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"64","FDP-254_2017_A_16_1836_4319","CCAH","TURFH","CCAH","CCAH","CCAH","TURFH","CCAH","CCAH",2
"65","FDP-254_2017_A_16_3411_3678","CCAH","TURFH","TURFH","CCAH","CCAH","TURFH","TURFH","CCAH",2
"66","FDP-282_2017_A_16_218_1710","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"67","FDP-282_2017_A_16_728_1598","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"68","FDP-282_2017_A_16_1238_3385","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"69","FDP-282_2017_A_16_2154_1379","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"70","FDP-282_2017_A_16_1938_2985","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"71","FDP-282_2017_A_16_2563_1782","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"72","FDP-282_2017_A_16_2829_2732","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","BRMA","TURFH",2
"73","GUA-2662_IMG_2505_1752_3539","CCAH","TURFH","TURFH","CCAH","CCAH","TURFH","TURFH","TURFH",2
"74","GUA-2662_IMG_2505_4523_3072","TURFH","TURFH","TURFH","TURFH","TURFH","HALI","TURFH","TURFH",2
"75","GUA-2662_IMG_2515_736_1031","POCS","POCS","ACBR","POCS","POCS","POCS","POCS","POCS",2
"76","GUA-2662_IMG_2515_4266_3502","PESP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"77","GUA-2677_IMG_9574_623_3297","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"78","GUA-2677_IMG_9574_451_3637","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"79","GUA-2677_IMG_9574_2732_548","CCAH","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH",2
"80","GUA-2677_IMG_9574_2800_2327","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH","TURFH","TURFH",2
"81","GUA-2684_IMG_0688_468_1380","PAMA","PAMA","PAEN","PAMA","PAMA","PAMA","PAMA","PAMA",2
"82","GUA-2684_IMG_0688_1225_486","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH","CCAH",2
"83","GUA-2684_IMG_0688_3596_744","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","CCAH","CCAH",2
"84","GUA-2684_IMG_0688_3452_1963","CCAH","SP","CCAH","CCAH","CCAH","CCAH","SP","CCAH",2
"85","GUA-2684_IMG_0688_3134_1516","CCAH","TURFH","CCAH","CCAH","TURFH","CCAH","CCAH","CCAH",2
"86","GUA-2696_IMG_2566_25_2244","SHAD","TURFH","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH",2
"87","GUA-2696_IMG_2566_1794_1339","TURFH","TURFH","PADI","TURFH","TURFH","TURFH","PADI","PADI",2
"88","GUA-2696_IMG_2566_1391_1141","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","HALI",2
"89","GUA-2699_IMG_9545_396_3054","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","SAND",2
"90","GUA-2699_IMG_9545_31_3833","SAND","TURFH","TURFH","SAND","TURFH","SAND","TURFH","SAND",2
"91","GUA-2699_IMG_9545_1443_2954","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","UPMA","TURFH",2
"92","GUA-2699_IMG_9545_1647_1838","TURFH","TURFH","TURFH","TURFH","BGMA","TURFH","TURFH","TURFH",2
"93","GUA-2699_IMG_9546_1866_1891","TURFH","TURFH","TURFH","TURFH","TURFH","ASSP","ASSP","TURFH",2
"94","GUA-2701_IMG_0973_2687_242","MISP","MISP","MISP","PAMA","MISP","MISP","MISP","PAMA",2
"95","GUA-2701_IMG_0973_3921_480","HALI","CCAH","HALI","HALI","HALI","HALI","HALI","HALI",2
"96","GUA-2701_IMG_0973_3564_2689","BGMA","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH",2
"97","GUA-2701_IMG_0973_5099_3221","HALI","GRMA","HALI","HALI","GRMA","HALI","GRMA","HALI",2
"98","GUA-2701_IMG_0977_541_270","HALI","HALI","HALI","HALI","GRMA","HALI","HALI","HALI",2
"99","GUA-2701_IMG_0977_281_229","HALI","TURFH","HALI","HALI","TURFH","HALI","TURFH","HALI",2
"100","GUA-2701_IMG_0977_276_911","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"101","GUA-2701_IMG_0977_821_3391","GASP","GASP","TURFH","GASP","GASP","GASP","GASP","GASP",2
"102","GUA-2701_IMG_0977_1593_607","CCAH","TURFH","CCAH","TURFH","CCAH","CCAH","TURFH","CCAH",2
"103","GUA-2716_IMG_0384_398_5461","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"104","GUA-2716_IMG_0398_542_317","PAEN","PAEN","PAEN","PAEN","PAEN","PAEN","PAEN","UI",2
"105","GUA-2716_IMG_0398_899_2361","PAEN","PAEN","PAEN","PAEN","PAEN","PAEN","PAEN","UI",2
"106","MAU-630_2017_A_28_226_1112","TURFH","TURFH","TURFH","TURFH","LEPT","TURFH","TURFH","TURFH",2
"107","MAU-630_2017_A_28_2805_304","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH",2
"108","MAU-640_2017_A_10_3556_2274","TURFH","SP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"109","MAU-649_2017_A_14_1349_4448","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH",2
"110","MAU-651_2017_A_20_789_3316","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","ENC",2
"111","MAU-651_2017_A_20_655_3641","BGMA","BGMA","TURFH","BGMA","BGMA","BGMA","BGMA","BGMA",2
"112","MAU-651_2017_A_20_1029_3277","BGMA","BGMA","TURFH","BGMA","TURFH","BGMA","BGMA","BGMA",2
"113","MAU-679_2017_A_17_191_1285","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"114","MAU-679_2017_A_17_96_2075","GONS","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","GONS",2
"115","MAU-679_2017_A_17_837_507","SHAD","SHAD","SHAD","SHAD","SHAD","PAEN","PAEN","PAEN",2
"116","MAU-679_2017_A_17_1150_1222","TURFH","TURFH","TURFH","CCAH","CCAH","TURFH","TURFH","CCAH",2
"117","MAU-679_2017_A_17_949_1945","COSP","PAMA","PAMA","PAMA","COSP","COSP","PAMA","COSP",2
"118","MAU-679_2017_A_17_1327_1792","CCAH","CCAH","CCAH","PESP","PESP","CCAH","CCAH","CCAH",2
"119","MAU-679_2017_A_17_1530_1452","TURFH","TURFH","TURFH","EMA","TURFH","TURFH","TURFH","TURFH",2
"120","MAU-679_2017_A_17_1320_1591","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH","TURFH","CCAH",2
"121","MAU-686_2017_A_22_941_4505","SHAD","TURFH","TURFH","SHAD","SHAD","TURFH","TURFH","SHAD",2
"122","MAU-686_2017_A_22_1893_3848","CCAH","TURFH","CCAH","CCAH","CCAH","TURFH","TURFH","CCAH",2
"123","MAU-686_2017_A_22_2459_1013","PESP","PESP","LOBO","LOBO","PESP","PESP","LOBO","PESP",2
"124","MAU-691_2017_A_12_34_5339","GOAL","GOAL","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"125","MAU-691_2017_A_12_3372_1579","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","SHAD","TURFH",2
"126","MAU-704_2017_A_09_140_735","CCAH","CCAH","CCAH","ENC","CCAH","CCAH","CCAH","CCAH",2
"127","MAU-704_2017_A_09_987_3337","EMA","TURFH","TURFH","TURFH","TURFH","TURFH","EMA","TURFH",2
"128","MAU-704_2017_A_09_2401_658","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA","TURFH",2
"129","MAU-723_2017_A_30_327_1210","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"130","MAU-723_2017_A_30_484_5398","SHAD","SHAD","SHAD","SHAD","SHAD","SHAD","SHAD","CCAH",2
"131","MAU-723_2017_A_30_618_5398","CCAH","CCAH","CCAH","BGMA","BGMA","BGMA","CCAH","CCAH",2
"132","MAU-723_2017_A_30_2193_1192","SAND","TURFH","TURFH","SAND","TURFH","SAND","TURFH","SAND",2
"133","MAU-838_2017_B_10_345_133","CCAH","CCAH","CCAH","CCAH","CCAH","CCAH","HCOE","CCAH",2
"134","MAU-838_2017_B_10_211_2136","CCAH","TURFH","CCAH","CCAH","CCAH","CCAH","TURFH","CCAH",2
"135","MAU-848_2017_B_02_205_42","EMA","TURFH","TURFH","TURFH","TURFH","TURFH","EMA","TURFH",2
"136","MAU-848_2017_B_02_1924_2413","CCAH","PESP","CCAH","PESP","CCAH","CCAH","CCAH","CCAH",2
"137","MAU-848_2017_B_02_2455_2336","TURFH","TURFH","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"138","MAU-848_2017_B_02_3324_2524","TURFH","CCAH","CCAH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"139","MAU-855_2017_B_12_445_956","TURFH","PESP","PESP","TURFH","PESP","TURFH","TURFH","TURFH",2
"140","MAU-855_2017_B_12_512_3784","PESP","TURFH","PESP","TURFH","PESP","TURFH","TURFH","TURFH",2
"141","MAU-855_2017_B_12_818_2945","TURFH","TURFH","TURFH","TURFH","BGMA","TURFH","TURFH","TURFH",2
"142","MAU-855_2017_B_12_631_3271","GONS","GONS","ENC","GONS","GONS","GONS","GONS","GONS",2
"143","MAU-868_2017_A_07_931_2846","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"144","MAU-868_2017_A_07_716_3406","TURFH","TURFH","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH",2
"145","MAU-868_2017_A_07_1229_2857","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","HALI","TURFH",2
"146","MAU-868_2017_A_07_2023_1295","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","HALI","TURFH",2
"147","MAU-868_2017_A_07_2197_2723","CCAH","CCAH","CCAH","HALI","CCAH","CCAH","HALI","CCAH",2
"148","MAU-868_2017_A_07_2872_1803","TURFH","CCAH","TURFH","TURFH","CCAH","CCAH","CCAH","TURFH",2
"149","MAU-870_2017_B_04_620_2409","CCAH","CCAH","CCAH","TURFH","CCAH","TURFH","TURFH","CCAH",2
"150","MAU-870_2017_B_04_604_3383","CCAH","TURFH","CCAH","TURFH","CCAH","CCAH","TURFH","CCAH",2
"151","MAU-870_2017_B_04_1305_1121","TURFH","TURFH","TURFH","CCAH","CCAH","TURFH","TURFH","TURFH",2
"152","MAU-870_2017_B_04_2212_329","SHAD","SHAD","SHAD","TURFH","TURFH","SHAD","SHAD","SHAD",2
"153","MAU-870_2017_B_04_2723_3844","PESP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"154","MAU-907_2017_B_04_613_539","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"155","MAU-907_2017_B_04_828_164","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"156","MAU-907_2017_B_04_1182_2925","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","CCAH",2
"157","MAU-907_2017_B_04_1632_1518","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"158","MAU-907_2017_B_04_1598_3651","CCAH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"159","MAU-907_2017_B_04_2079_700","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"160","MAU-907_2017_B_04_2054_1035","POCS","TURFH","TURFH","TURFH","POCS","TURFH","TURFH","POCS",2
"161","MAU-907_2017_B_04_2003_1062","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","EMA",2
"162","MAU-951_2017_B_11_117_2856","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","RDMA",2
"163","MAU-951_2017_B_11_1253_632","PESP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"164","MAU-951_2017_B_11_1691_2464","TUN","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"165","MAU-953_2017_B_11_213_969","GONS","GONS","HARD","GONS","GONS","GONS","GONS","GONS",2
"166","MAU-953_2017_B_11_909_3884","PESP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
"167","MAU-953_2017_B_11_1676_601","CCAH","TURFH","TURFH","TURFH","CCAH","TURFH","TURFH","TURFH",2
"168","MAU-953_2017_B_11_2117_250","SHAD","SHAD","SHAD","SHAD","SHAD","SHAD","TURFH","SHAD",2
"169","MAU-994_2017_B_06_337_961","SHAD","TURFH","SHAD","TURFH","TURFH","SHAD","SHAD","SHAD",2
"170","MAU-994_2017_B_06_1382_2402","TURFH","TURFH","TURFH","LOBO","TURFH","TURFH","TURFH","TURFH",2
"171","MAU-994_2017_B_06_1822_2951","TURFH","TURFH","TURFH","LOBO","TURFH","TURFH","TURFH","TURFH",2
"172","MAU-994_2017_B_06_3674_387","TURFH","TURFH","SHAD","TURFH","TURFH","TURFH","TURFH","TURFH",2
"173","MAU-994_2017_B_06_3266_2441","PESP","PESP","EMA","EMA","PESP","EMA","PESP","EMA",2
"174","MAU-997_2017_A_01_2738_158","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","GONS",2
"175","MAU-997_2017_A_01_2677_2995","PHSP","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH","TURFH",2
