SPCODE,MORPH_CODE
CYSP,EM
FUSP,EM
LINC,BR
MCAP,MD
PCHI,MD
PCOM,EM
PDUE,KN
PDUE,BR
PGWC,MD
PLIC,BR
PLIG,EM
PLOB,PL
PLOB,BR
PLUT,PL
PMAL,PL
PMVC,MD
POSP,DI
POSP,ML
POSP,FO
PSTE,EM
PVAR,BR
