"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Leng","SEGAREA"
"228","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.025529003,1
"229","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.027183083,1
"230","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.021931711,1
"231","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.008736131,1
"232","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.011920151,1
"233","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.016824388,1
"234","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.00990404,1
"235","MA",2019,"SE1902","HAW-04260","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.008236503,1
"258","MA",2019,"SE1902","HAW-04263","B","5",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.039787686,1
"292","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.046862564,1
"294","MA",2019,"SE1902","HAW-04264","B","0",1,1,"-1",NA,"0",NA,"0",-1,"0","0",0.003577707,1
"295","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.02129413,1
"296","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.023260697,1
"297","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.014317123,1
"298","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.029041349,1
"299","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.040431671,1
"300","MA",2019,"SE1902","HAW-04264","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.011910501,1
"304","MA",2019,"SE1902","HAW-04268","B","0",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.04022263,1
"335","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","POCS","0","EM","0",-1,"0","0",0.024016868,1
"336","MA",2019,"SE1902","HAW-04278","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.037220021,1
