DATE_,ISLAND,SITE,Survey_Size,Notes,Exposure_Correct,Rugosity,Repeated_Segment,Mosaic_Issues,Repeats_Status,Segments_Annotated
4/22/2019,Maui,MAI-02541,3x20m,"some dark photos, only half of photos were moved over from photo download folder - fixed by RS on 6/20",RS,high,,RUG,,4
4/23/2019,Maui,MAI-02466,3x13m,,,high,,RUG,,3
4/23/2019,Maui,MAI-02489,3x20m,,,high,,PCOM,,4
4/24/2019,Maui,MAI-02459,3x15m,"many images with ruler in view, written as MAI-2549 on datasheet in photo",,high,,PCOM,,3
4/24/2019,Maui,MAI-02483,3x20m,no picture of slate,,high,,PCOM,,4
4/27/2019,Maui,MAI-02546,3x20m,Photos are dark Photo #4056 had fin in it; moved to MISC,RS,high,,BO,,4
4/27/2019,Maui,MAI-02567,3x20m,Some photos dark,RS,high,,BO,,4
4/27/2019,Maui,MAI-02586,3x20m,quite a few dark photos,RS,high,,BO,,4
4/28/2019,Molokai,MOL-02221,3x13m,,,med,,,,4
4/28/2019,Molokai,MOL-02233,3x20m,Lots of dark photos,RS,med,,BO,,4
5/1/2019,Molokai,MOL-02291,3x13m,,,med,,,,3
5/3/2019,Molokai,MOL-02276,3x20m,"Photos #5881-5885 had fins, so moved to MISC",RS,med,,RUG_BLUR,,4
5/1/2019,Molokai,MOL-02286,3x20m,,,low,,PAV,,4
5/1/2019,Molokai,MOL-02300,3x20m,Some dark,RS,low,,PAV,,4
5/1/2019,Molokai,MOL-02306,3x20m,Murktastic site- silty photos; PQ photos too silty,RS,low,,MURK,,4
5/2/2019,Molokai,MOL-02280,3x30m,"19,20 & 33,34 marker moved",,low,,PAV,,4
5/3/2019,Molokai,MOL-02263,3x20m,,,low,,PAV,,4
4/28/2019,Molokai,MOL-02227,3x20m,Some almost black,RS,high,,BO,,4
4/28/2019,Molokai,MOL-02242,3x20m,,,high,,BO,,4
4/29/2019,Molokai,MOL-02194,3x13m,,,high,,BO_MURK,,4
4/29/2019,Molokai,MOL-02197,3x20m,quite a few dark photos,RS,high,,BO,,4
4/29/2019,Molokai,MOL-02240,3x20m,"most photos very dark, last pass was extra pass over transect; PQ photos are out of focus",RS,high,,BO_MURK,,4
5/2/2019,Molokai,MOL-02254,3x13m,,,high,,PCOM_RUG,,3
5/2/2019,Molokai,MOL-02260,3x20m,,,high,,PCOM_BLUR_COLOR,,4
5/2/2019,Molokai,MOL-02265,3x13m,,,high,,PCOM_RUG,,3
5/2/2019,Molokai,MOL-02266,3x20m,,,high,,MCAP,,3
5/2/2019,Molokai,MOL-02283,3x20m,,,high,,MURK,,4
5/3/2019,Molokai,MOL-02255,3x20m,a lot of dark photos,RS,high,,PCOM,,4
7/26/2019,Niihau,NII-02584,3x20m,,,med,10,BO,Complete,4
7/25/2019,Niihau,NII-02594,3x20m,,,low,0_5_10_15,PAV,Complete,4
7/31/2019,Oahu,OAH-03235,3x20m,,,low,0_15,PAV,Complete,4
8/3/2019,Oahu,OAH-03232,3x20m,,,low,10,PAV,Complete,4
8/3/2019,Oahu,OAH-03234,3x20m,,,low,5,PAV,complete,4
