MISSIONID,OBS_YEAR,SITE,SITEVISITID,ISLAND,DATE_,DIVER,Method,Transectid,TRANSECT,Segmentid,SEGMENT,SEGLENGTH,SEGWIDTH,No colony observed,SITE_MIN_DEPTH,SITE_MAX_DEPTH,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,JDG,ADULT,1041,1,1826,5,2.5,1,0,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,JDG,JUVENILE,1041,1,1828,5,1,1,0,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,BVA,ADULT,1041,1,1830,3,2.5,1,0,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,MSW,ADULT,1041,1,1832,7,2.5,1,0,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5004,11940,Tutuila,5-Jul-18,MSW,ADULT,1043,1,1834,7,2.5,1,0,43,48,-14.280962,-170.561526,Forereef,Mid
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,BVA,JUVENILE,1041,1,1836,3,1,1,-1,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,MAR,JUVENILE,1041,1,1838,1,1,1,0,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5003,11939,Tutuila,5-Jul-18,MAR,ADULT,1041,1,1840,1,2.5,1,0,71,80,-14.283662,-170.563072,Forereef,Deep
HA1801,2018,TUT-5005,11941,Tutuila,5-Jul-18,MAR,ADULT,1045,1,1842,1,2.5,1,0,43,45,-14.276832,-170.557578,Forereef,Mid
HA1801,2018,HOW-910,11621,Howland,9-Jun-18,JDG,ADULT,703,1,878,1,2.5,1,0,16,22,0.82122,-176.6252,Forereef,Shallow
HA1801,2018,HOW-860,11642,Howland,10-Jun-18,JDG,ADULT,721,1,922,1,2.5,1,0,70,75,0.81195,-176.61156,Forereef,Deep
HA1801,2018,HOW-860,11642,Howland,10-Jun-18,MSW,ADULT,721,1,924,3,2.5,1,0,70,75,0.81195,-176.61156,Forereef,Deep
HA1801,2018,HOW-860,11642,Howland,10-Jun-18,MSW,ADULT,721,1,928,7,2.5,1,0,70,75,0.81195,-176.61156,Forereef,Deep
HA1801,2018,HOW-860,11642,Howland,10-Jun-18,JDG,JUVENILE,721,1,932,1,1,1,-1,70,75,0.81195,-176.61156,Forereef,Deep
HA1801,2018,HOW-890,11643,Howland,10-Jun-18,JDG,ADULT,723,1,936,5,2.5,1,0,18,23,0.81195,-176.6118,Forereef,Shallow
HA1801,2018,HOW-862,11660,Howland,11-Jun-18,MSW,ADULT,741,1,984,3,2.5,1,0,67,70,0.8054,-176.62131,Forereef,Deep
HA1801,2018,HOW-862,11660,Howland,11-Jun-18,JDG,ADULT,741,1,988,1,2.5,1,0,67,70,0.8054,-176.62131,Forereef,Deep
HA1801,2018,HOW-862,11660,Howland,11-Jun-18,MSW,JUVENILE,741,1,990,3,1,1,0,67,70,0.8054,-176.62131,Forereef,Deep
HA1801,2018,HOW-862,11660,Howland,11-Jun-18,JDG,JUVENILE,741,1,992,1,1,1,-1,67,70,0.8054,-176.62131,Forereef,Deep
HA1801,2018,HOW-1031,11661,Howland,11-Jun-18,JDG,ADULT,743,1,998,1,2.5,1,0,34,38,0.79788,-176.6198,Forereef,Mid
HA1801,2018,HOW-1031,11661,Howland,11-Jun-18,JDG,JUVENILE,743,1,1002,1,1,1,-1,34,38,0.79788,-176.6198,Forereef,Mid
HA1801,2018,HOW-1031,11661,Howland,11-Jun-18,JDG,JUVENILE,743,1,1006,3,1,1,-1,34,38,0.79788,-176.6198,Forereef,Mid
HA1801,2018,BAK-776,11680,Baker,12-Jun-18,MSW,ADULT,767,1,1040,7,2.5,1,0,20,24,0.18798,-176.46997,Forereef,Shallow
HA1801,2018,BAK-776,11680,Baker,12-Jun-18,MSW,JUVENILE,767,1,1044,3,1,1,-1,20,24,0.18798,-176.46997,Forereef,Shallow
HA1801,2018,BAK-776,11680,Baker,12-Jun-18,JDG,JUVENILE,767,1,1048,1,1,1,-1,20,24,0.18798,-176.46997,Forereef,Shallow
HA1801,2018,BAK-745,11701,Baker,13-Jun-18,MSW,ADULT,783,1,1076,3,2.5,1,0,-,-,0.20494,-176.47351,Forereef,Mid
HA1801,2018,BAK-745,11701,Baker,13-Jun-18,JDG,ADULT,783,1,1080,1,2.5,1,0,-,-,0.20494,-176.47351,Forereef,Mid
HA1801,2018,BAK-745,11701,Baker,13-Jun-18,MSW,JUVENILE,783,1,1084,3,1,1,-1,-,-,0.20494,-176.47351,Forereef,Mid
HA1801,2018,BAK-745,11701,Baker,13-Jun-18,JDG,JUVENILE,783,1,1088,1,1,1,-1,-,-,0.20494,-176.47351,Forereef,Mid
HA1801,2018,BAK-724,11714,Baker,14-Jun-18,MSW,ADULT,801,1,1122,3,2.5,1,0,-,-,0.18673,-176.47002,Forereef,Deep
HA1801,2018,BAK-724,11714,Baker,14-Jun-18,MSW,ADULT,801,1,1126,7,2.5,1,0,-,-,0.18673,-176.47002,Forereef,Deep
HA1801,2018,BAK-724,11714,Baker,14-Jun-18,MSW,JUVENILE,801,1,1130,3,1,1,0,-,-,0.18673,-176.47002,Forereef,Deep
HA1801,2018,BAK-724,11714,Baker,14-Jun-18,JDG,JUVENILE,801,1,1132,1,1,1,-1,-,-,0.18673,-176.47002,Forereef,Deep
HA1801,2018,BAK-752,11715,Baker,14-Jun-18,MSW,ADULT,803,1,1136,3,2.5,1,0,-,-,0.20007,-176.48407,Forereef,Mid
HA1801,2018,BAK-804,11716,Baker,14-Jun-18,JDG,ADULT,805,1,1146,1,2.5,1,0,-,-,0.20376,-176.47806,Forereef,Shallow
HA1801,2018,BAK-804,11716,Baker,14-Jun-18,MSW,ADULT,805,1,1150,3,2.5,1,0,-,-,0.20376,-176.47806,Forereef,Shallow
HA1801,2018,BAK-752,11715,Baker,14-Jun-18,MSW,JUVENILE,803,1,1154,3,1,1,0,-,-,0.20007,-176.48407,Forereef,Mid
HA1801,2018,BAK-804,11716,Baker,14-Jun-18,JDG,JUVENILE,805,1,1162,1,1,1,0,-,-,0.20376,-176.47806,Forereef,Shallow
HA1801,2018,SWA-793,11744,Swains,19-Jun-18,MSW,ADULT,841,1,1224,3,2.5,1,0,60,62,-11.056613,-171.091813,Forereef,Deep
HA1801,2018,SWA-793,11744,Swains,19-Jun-18,MSW,ADULT,841,1,1228,7,2.5,0.5,0,60,62,-11.056613,-171.091813,Forereef,Deep
HA1801,2018,SWA-793,11744,Swains,19-Jun-18,MSW,JUVENILE,841,1,1232,3,1,1,0,60,62,-11.056613,-171.091813,Forereef,Deep
HA1801,2018,SWA-800,11745,Swains,19-Jun-18,MSW,ADULT,843,1,1236,3,2.5,1,0,14,19,-11.063407,-171.087064,Forereef,Shallow
HA1801,2018,SWA-800,11745,Swains,19-Jun-18,MSW,JUVENILE,843,1,1244,3,1,1,0,14,19,-11.063407,-171.087064,Forereef,Shallow
HA1801,2018,SWA-795,11746,Swains,19-Jun-18,MSW,ADULT,845,1,1252,3,2.5,1,0,37,42,-11.065867,-171.08488,Forereef,Mid
