"","SITEVISITID","OBS_YEAR","REGION_NAME","ISLAND","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","SITE_MIN_DEPTH","SITE_MAX_DEPTH"
"52",11621,2018,"Pacific Remote Island Areas","Howland","HOW-00910","Forereef","Shallow",0.82122,-176.6252,"16","22"
"53",12103,2018,"American Samoa","Rose","ROS-05001","Forereef","Shallow",-14.550748,-168.167005,"16","22"
"54",12215,2018,"Pacific Remote Island Areas","Jarvis","JAR-01995","Forereef","Shallow",-0.362745,-160.001952,"17","22"
"55",12496,2018,"Pacific Remote Island Areas","Kingman","KIN-00862","Forereef","Shallow",6.385349,-162.336263,"18","22"
"56",11643,2018,"Pacific Remote Island Areas","Howland","HOW-00890","Forereef","Shallow",0.81195,-176.6118,"18","23"
"57",12341,2018,"Pacific Remote Island Areas","Palmyra","PAL-01101","Forereef","Mid",5.893973,-162.130087,"21","23"
"58",12251,2018,"Pacific Remote Island Areas","Jarvis","JAR-01997","Forereef","Shallow",-0.368374,-159.981009,"21","23"
"59",12055,2018,"American Samoa","Tau","TAU-01016","Forereef","Shallow",-14.22437,-169.519716,"23","23"
"60",12384,2018,"Pacific Remote Island Areas","Palmyra","PAL-01134","Forereef","Mid",5.873855,-162.036243,"19","24"
"61",11680,2018,"Pacific Remote Island Areas","Baker","BAK-00776","Forereef","Shallow",0.18798,-176.46997,"20","24"
"62",12485,2018,"Pacific Remote Island Areas","Kingman","KIN-00837","Forereef","Mid",6.429722,-162.37497,"21","25"
"63",12414,2018,"Pacific Remote Island Areas","Palmyra","PAL-01087","Forereef","Mid",5.866966,-162.110286,"21","25"
"64",12233,2018,"Pacific Remote Island Areas","Jarvis","JAR-01984","Forereef","Mid",-0.374247,-159.981524,"21","25"
"65",12433,2018,"Pacific Remote Island Areas","Kingman","KIN-00850","Forereef","Mid",6.420936,-162.362801,"22","25"
"66",12014,2018,"American Samoa","Ofu & Olosega","OFU-01013","Forereef","Mid",-14.163059,-169.685125,"25","25"
"67",12373,2018,"Pacific Remote Island Areas","Palmyra","PAL-01095","Forereef","Mid",5.869347,-162.034153,"23","26"
"68",12438,2018,"Pacific Remote Island Areas","Kingman","KIN-00835","Forereef","Mid",6.427592,-162.371615,"23","27"
"69",11973,2018,"American Samoa","Ofu & Olosega","OFU-01014","Forereef","Mid",-14.178103,-169.65009,"24","27"
"70",12434,2018,"Pacific Remote Island Areas","Kingman","KIN-00843","Forereef","Mid",6.424462,-162.367355,"24","29"
"71",12352,2018,"Pacific Remote Island Areas","Palmyra","PAL-01107","Forereef","Mid",5.886772,-162.130038,"24","29"
"72",12273,2018,"Pacific Remote Island Areas","Jarvis","JAR-01945","Forereef","Mid",-0.38043,-159.978151,"27","29"
"73",12272,2018,"Pacific Remote Island Areas","Jarvis","JAR-01981","Forereef","Mid",-0.378925,-159.972386,"28","30"
"74",12302,2018,"Pacific Remote Island Areas","Jarvis","JAR-01923","Forereef","Mid",-0.381684,-159.999209,"23","32"
"75",12116,2018,"American Samoa","Rose","ROS-01105","Forereef","Mid",-14.537268,-168.168625,"29","32"
"76",12355,2018,"Pacific Remote Island Areas","Palmyra","PAL-01114","Forereef","Mid",5.895702,-162.122905,"29","32"
"77",11894,2018,"American Samoa","Tutuila","TUT-02903","Forereef","Mid",-14.256032,-170.6511,"29","33"
"78",11765,2018,"American Samoa","Swains","SWA-00780","Forereef","Mid",-11.045855,-171.077936,"32","34"
"79",11893,2018,"American Samoa","Tutuila","TUT-02909","Forereef","Shallow",-14.250394,-170.621254,"32","34"
"80",12234,2018,"Pacific Remote Island Areas","Jarvis","JAR-01974","Forereef","Mid",-0.375679,-159.976233,"31","35"
"81",12357,2018,"Pacific Remote Island Areas","Palmyra","PAL-01093","Forereef","Mid",5.866929,-162.123102,"33","35"
"82",12249,2018,"Pacific Remote Island Areas","Jarvis","JAR-01950","Forereef","Mid",-0.370827,-159.976099,"33","35"
