SEGMENTID,COLONYID,SPECIES,COLONYLENGTH,COLONYWIDTH,MORPH_CODE,SITE,DATE_,TRANSECTNUM,SITEVISITID,SEGMENT,SEGLENGTH,SEGWIDTH,TRANSECTID,DIVER,REGION,ISLANDCODE,OBS_YEAR,GENUS,S_ORDER,MISSIONID,ISLAND,REEF_ZONE,HABITAT_CODE,DEPTH_BIN,LATITUDE,LONGITUDE,MIN_DEPTH,MAX_DEPTH,REGION_NAME
1708,-,PPRO,4.5,-,EM,TUT-2916,3-Jul-18,1,11895,5,1,1,1007,BH,SAMOA,TUT,2018,Psammocora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Shallow,-14.248348,-170.670423,11,12,American Samoa
1796,-,MOSP,3.8,-,EM,TUT-2889,4-Jul-18,1,11915,3,1,1,1027,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Shallow,-14.36417,-170.76021,11,13,American Samoa
1796,-,MOSP,2.8,-,EM,TUT-2889,4-Jul-18,1,11915,3,1,1,1027,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Shallow,-14.36417,-170.76021,11,13,American Samoa
1820,-,MOSP,4,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,MOSP,4.5,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,POSP,2,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,POSP,1,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,PRUS,3,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,PRUS,2.5,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,MOSP,3.7,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,MOSP,1.5,-,EM,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1820,-,PRUS,2.2,-,EC,TUT-5004,5-Jul-18,1,11940,3,1,1,1043,BVA,SAMOA,TUT,2018,Porites,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.280962,-170.561526,43,48,American Samoa
1844,-,POCS,3.5,-,BR,TUT-5005,5-Jul-18,1,11941,1,1,1,1045,MAR,SAMOA,TUT,2018,Pocillopora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.276832,-170.557578,43,45,American Samoa
1844,-,MOSP,3,-,EM,TUT-5005,5-Jul-18,1,11941,1,1,1,1045,MAR,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.276832,-170.557578,43,45,American Samoa
1882,-,MOSP,4.4,-,EM,TUT-2855,6-Jul-18,1,11953,5,1,1,1063,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Mid,-14.360105,-170.749262,43,45,American Samoa
1896,-,MOSP,3.6,-,EM,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1896,-,MOSP,3.2,-,EM,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1896,-,MOSP,3.6,-,KN,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1896,-,MOSP,1,-,EM,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1896,-,MOSP,4,-,EM,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1896,-,MOSP,3,-,EM,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1896,-,MOSP,3,-,EM,TUT-2852,6-Jul-18,1,11955,1,1,1,1067,BH,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.360848,-170.750407,61,63,American Samoa
1914,-,MOSP,1.5,-,EM,TUT-2850,6-Jul-18,1,11952,3,1,1,1061,BVA,SAMOA,TUT,2018,Montipora,Scleractinia,HA1801,Tutuila,Forereef,AGR,Deep,-14.364336,-170.752103,73,75,American Samoa
1938,-,MOSP,2,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1938,-,CYPS,4,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Cyphastrea,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1938,-,LOBS,4,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Lobophyllia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1938,-,LOBS,3.5,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Lobophyllia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1938,-,LOBS,2.7,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Lobophyllia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1938,-,LOBS,3,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Lobophyllia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1938,-,FUSP,2,-,EM,OFU-987,7-Jul-18,1,11972,1,1,1,1081,MAR,SAMOA,OFU,2018,Fungia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1944,-,GEDW,4,-,MD,OFU-987,7-Jul-18,1,11972,5,1,1,1081,MAR,SAMOA,OFU,2018,Goniastrea,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.186709,-169.663998,74,76,American Samoa
1932,-,STSP,2,-,EM,OFU-1014,7-Jul-18,1,11973,3,1,1,1083,BH,SAMOA,OFU,2018,Stylocoeniella,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1932,-,GONS,3.2,-,EM,OFU-1014,7-Jul-18,1,11973,3,1,1,1083,BH,SAMOA,OFU,2018,Goniastrea,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1952,-,MOSP,3,-,KN,OFU-1014,7-Jul-18,1,11973,1,1,1,1083,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1932,-,MOSP,3,-,EM,OFU-1014,7-Jul-18,1,11973,3,1,1,1083,BH,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1952,-,MOSP,1.5,-,EM,OFU-1014,7-Jul-18,1,11973,1,1,1,1083,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1952,-,FAVS,4.8,-,EM,OFU-1014,7-Jul-18,1,11973,1,1,1,1083,MAR,SAMOA,OFU,2018,Favites,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1952,-,MOSP,4,-,PL,OFU-1014,7-Jul-18,1,11973,1,1,1,1083,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1952,-,MOSP,1,-,EM,OFU-1014,7-Jul-18,1,11973,1,1,1,1083,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1952,-,ACSP,4.3,-,EM,OFU-1014,7-Jul-18,1,11973,1,1,1,1083,MAR,SAMOA,OFU,2018,Acropora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.178103,-169.65009,24,27,American Samoa
1956,-,FUSP,4,-,FR,OFU-1049,7-Jul-18,1,11982,3,1,1,1089,BVA,SAMOA,OFU,2018,Fungia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Deep,-14.176085,-169.648038,71,73,American Samoa
1968,-,MOSP,0.5,-,EM,OFU-1024,7-Jul-18,1,11984,3,1,1,1093,BVA,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
1968,-,MOSP,0.5,-,EM,OFU-1024,7-Jul-18,1,11984,3,1,1,1093,BVA,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
1982,-,MOSP,4,-,EM,OFU-1024,7-Jul-18,1,11984,5,1,1,1093,BVA,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
1982,-,MOSP,1.5,-,EM,OFU-1024,7-Jul-18,1,11984,5,1,1,1093,BVA,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
1980,-,PPRO,4.6,-,EM,OFU-1004,7-Jul-18,1,11974,3,1,1,1085,BH,SAMOA,OFU,2018,Psammocora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1990,-,LPHY,3.8,-,MD,OFU-1004,7-Jul-18,1,11974,5,1,1,1085,BH,SAMOA,OFU,2018,Leptoria,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1990,-,MOSP,4.2,-,EC,OFU-1004,7-Jul-18,1,11974,5,1,1,1085,BH,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1990,-,ACSP,2.4,-,EM,OFU-1004,7-Jul-18,1,11974,5,1,1,1085,BH,SAMOA,OFU,2018,Acropora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
1990,-,ACSP,3,-,EM,OFU-1004,7-Jul-18,1,11974,5,1,1,1085,BH,SAMOA,OFU,2018,Acropora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.172599,-169.64201,36,38,American Samoa
