Name,Row,Column,Cnet_SHORT_CODE,Annotator,Unique_point
FFS-4176_2017_A_18_dummy5.JPG,2906,3480,*TURFH,nosborn,2021-08-13 23:21:49+00:00
FFS-4185_2017_A_06_dummy5.JPG,138,264,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,244,729,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,409,1026,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,826,2154,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,986,2907,*SHAD,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,1504,726,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,1392,2983,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,2060,433,*TURFH,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,2181,1964,*RUB,nosborn,2021-08-13 23:25:08+00:00
FFS-4185_2017_A_06_dummy5.JPG,2765,1943,*TURFH,nosborn,2021-08-13 23:25:07+00:00
FFS-4187_2017_A_04_dummy5.JPG,480,3323,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,35,3284,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,622,627,*TURFH,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,1455,1376,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,1406,1058,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,1621,2462,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,1678,2861,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,2003,2782,*POEN,nosborn,2021-08-13 19:05:31+00:00
FFS-4187_2017_A_04_dummy5.JPG,2613,1126,*POEN,nosborn,2021-08-13 19:05:30+00:00
FFS-4187_2017_A_04_dummy5.JPG,2948,3562,*POEN,nosborn,2021-08-13 19:05:30+00:00
FFS-4189_2017_A_09_dummy5.JPG,498,196,*POEN,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,406,405,*POEN,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,482,2866,*TURFH,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,625,2006,*POEN,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,1539,992,*TURFH,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,1439,1817,*POEN,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,1299,2778,*TURFH,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,2052,2135,*TURFH,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,2120,2882,*TURFH,nosborn,2021-08-13 19:03:31+00:00
FFS-4189_2017_A_09_dummy5.JPG,2969,590,*TURFH,nosborn,2021-08-13 19:03:31+00:00
FFS-4190_2017_A_05_dummy5.JPG,503,1427,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,1141,2843,*SAND,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,1414,433,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,1529,1386,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,1316,1825,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,1877,3738,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,1881,3764,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,2860,13,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,2708,898,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4190_2017_A_05_dummy5.JPG,2940,2315,*TURFH,nosborn,2021-08-13 19:27:43+00:00
FFS-4191_2017_A_04_dummy5.JPG,1039,3476,*TURFH,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,1182,3350,*CCAH,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,654,3996,*TURFH,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,1321,2131,*POEN,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,1657,3610,*TURFH,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,2520,1567,*POEN,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,2491,2387,*POEN,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,2795,2355,*TURFH,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,2866,2877,*POEN,nosborn,2021-08-13 19:32:30+00:00
FFS-4191_2017_A_04_dummy5.JPG,2509,3552,*TURFH,nosborn,2021-08-13 19:32:30+00:00
FFS-4196_2017_A_16_dummy5.JPG,496,365,*TURFH,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,179,2826,*HARD,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,1051,3262,*TURFH,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,1263,64,*UNK,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,1242,276,*TURFH,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,1880,1757,*TURFH,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,2262,1950,*POMA,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,2019,3398,*TURFH,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,2979,313,*UNK,nosborn,2021-08-13 19:43:31+00:00
FFS-4196_2017_A_16_dummy5.JPG,2761,1563,*TURFH,nosborn,2021-08-13 19:43:31+00:00
FFS-4198_2017_A_06_dummy5.JPG,520,2886,*SHAD,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,67,3771,*SHAD,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,726,945,*HARD,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,1058,1096,*POEN,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,1144,3944,*POEN,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,1479,528,*TURFH,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,1854,2667,*HARD,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,2570,1610,*TURFH,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,2872,3123,*TURFH,nosborn,2021-08-13 19:49:35+00:00
FFS-4198_2017_A_06_dummy5.JPG,2846,3020,*UNK,nosborn,2021-08-13 19:49:35+00:00
FFS-4201_2017_A_11_dummy5.JPG,144,3328,*POEN,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,1183,3723,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,1393,463,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,1240,1113,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,2132,913,*SAND,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,1820,3203,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,2707,2508,*POEN,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,2533,2659,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,2571,3425,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4201_2017_A_11_dummy5.JPG,2664,3248,*TURFH,nosborn,2021-08-13 20:12:21+00:00
FFS-4205_2017_A_17_dummy5.JPG,418,2105,*ENC,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,35,3515,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,229,3283,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,291,3346,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,1782,2295,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,1394,2559,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,1597,3596,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,2372,659,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,2152,1427,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4205_2017_A_17_dummy5.JPG,2364,1413,*TURFH,nosborn,2021-08-13 20:26:34+00:00
FFS-4215_2017_A_12_dummy5.JPG,852,1256,*COL,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,921,1030,*SAND,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,931,2938,*TURFH,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,733,3828,*TURFH,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,1311,3118,*TURFH,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,2271,489,*MOEN,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,1973,820,*TURFH,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,2395,2424,*ACBR,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,2531,1802,*HARD,nosborn,2021-08-13 21:02:50+00:00
FFS-4215_2017_A_12_dummy5.JPG,2681,2503,*HARD,nosborn,2021-08-13 21:02:50+00:00
FFS-4223_2017_A_16_dummy5.JPG,443,1897,*ACBR,nosborn,2021-08-13 21:19:49+00:00
