SITEVISITID,ROUNDID,MISSIONID,REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,new_MIN_DEPTH_M,new_MAX_DEPTH_M,SITE,OLD_SITE,OCC_SITEID,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOV,LONGITUDE_LOV,OBS_YEAR,ANALYSIS_YEAR,DATE_,HABITAT_CODE,Type
51364,188,RA2301_LEG3,SAMOA,Ofu & Olosega,,Forereef,Deep,23.46845474,24.38281012,OFU-1361,OFU-1361,,-14.159225,-169.62007,-14.159225,-169.62007,2023,2023,14-Apr-23,APR,Benthic
51365,188,RA2301_LEG3,SAMOA,Ofu & Olosega,,Forereef,Mid,9.448338921,12.19140506,OFU-1323,OFU-1323,,-14.163473,-169.639249,-14.163473,-169.639249,2023,2023,14-Apr-23,SAG,Benthic
51366,188,RA2301_LEG3,SAMOA,Ofu & Olosega,,Forereef,Mid,9.448338921,10.05790917,OFU-1309,OFU-1309,,-14.165557,-169.631256,-14.165557,-169.631256,2023,2023,14-Apr-23,AGR,Benthic
51367,188,RA2301_LEG3,SAMOA,Ofu & Olosega,,Forereef,Shallow,4.266991771,4.876562024,OFU-1303,OFU-1303,,-14.164267,-169.624418,-14.164267,-169.624418,2023,2023,14-Apr-23,PAV,Benthic
51368,188,RA2301_LEG3,SAMOA,Ofu & Olosega,,Forereef,Shallow,5.18134715,6.09570253,OFU-1289,OFU-1289,,-14.156527,-169.617584,-14.156527,-169.617584,2023,2023,14-Apr-23,ROB,Benthic
51060,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Deep,,,BAK-2088,BAK-2088,,0.195524,-176.486895,0.195524,-176.486895,2023,2023,17-Mar-23,AGR,Fish
51061,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Shallow,,,BAK-2041,BAK-2041,,0.203478,-176.479809,0.203478,-176.479809,2023,2023,17-Mar-23,SAG,Fish
51100,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Mid,,,BAK-2057,BAK-2057,,0.191136,-176.462962,0.191136,-176.462962,2023,2023,19-Mar-23,AGR,Fish
51101,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Shallow,,,BAK-2042,BAK-2042,,0.1894,-176.4866,0.1894,-176.4866,2023,2023,19-Mar-23,SAG,Fish
51102,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Deep,,,BAK-2077,BAK-2077,,0.206836,-176.477276,0.206836,-176.477276,2023,2023,19-Mar-23,AGR,Fish
51103,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Shallow,,,BAK-2040,BAK-2040,,0.203755,-176.476179,0.203755,-176.476179,2023,2023,19-Mar-23,SAG,Fish
51104,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Deep,,,BAK-2067,BAK-2067,,0.199411,-176.461343,0.199411,-176.461343,2023,2023,19-Mar-23,AGR,Fish
51065,187,RA2301_LEG2,PRIAs,Baker,,Forereef,Shallow,,,BAK-2047,BAK-2047,,0.189824,-176.487846,0.189824,-176.487846,2023,2023,17-Mar-23,SAG,Fish
51180,188,RA2301_LEG3,SAMOA,Tau,,Forereef,Deep,19.5062481,20.7253886,TAU-1335,TAU-1335,,-14.210851,-169.445743,-14.210851,-169.445743,2023,2023,3-Apr-23,AGR,Benthic
51181,188,RA2301_LEG3,SAMOA,Tau,,Forereef,Mid,9.448338921,10.66747943,TAU-1304,TAU-1304,,-14.214323,-169.466882,-14.214323,-169.466882,2023,2023,3-Apr-23,ROB,Benthic
51182,188,RA2301_LEG3,SAMOA,Tau,,Forereef,Mid,13.10576044,14.02011582,TAU-1302,TAU-1302,,-14.214573,-169.485759,-14.214573,-169.485759,2023,2023,3-Apr-23,AGR,Benthic
51183,188,RA2301_LEG3,SAMOA,Tau,,Forereef,Shallow,5.18134715,5.790917403,TAU-1289,TAU-1289,,-14.216636,-169.497562,-14.216636,-169.497562,2023,2023,3-Apr-23,SAG,Benthic
51304,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Deep,18.28710759,20.11581835,TUT-5997,TUT-5997,,-14.300914,-170.823822,-14.300914,-170.823822,2023,2023,10-Apr-23,AGR,Benthic
51305,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,7.619628162,8.838768668,TUT-5767,TUT-5767,,-14.299424,-170.81431,-14.299424,-170.81431,2023,2023,10-Apr-23,AGR,Benthic
51306,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,9.448338921,10.66747943,TUT-5770,TUT-5770,,-14.29198,-170.802564,-14.29198,-170.802564,2023,2023,10-Apr-23,AGR,Benthic
51307,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Shallow,3.962206644,5.790917403,TUT-5690,TUT-5690,,-14.291769,-170.780676,-14.291769,-170.780676,2023,2023,10-Apr-23,AGR,Benthic
51460,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,15.84882658,16.76318196,TUT-5858,TUT-5858,,-14.34884,-170.723,-14.34884,-170.723,2023,2023,19-Apr-23,AGR,Benthic
51461,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,11.88661993,12.80097531,TUT-5982,TUT-5982,,-14.344802,-170.719239,-14.344802,-170.719239,2023,2023,19-Apr-23,AGR,Benthic
51462,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,10.97226455,13.71533069,TUT-5990,TUT-5990,,-14.338761,-170.717171,-14.338761,-170.717171,2023,2023,19-Apr-23,AGR,Benthic
51463,188,RA2301_LEG3,SAMOA,Tutuila,,Forereef,Mid,8.838768668,9.753124048,TUT-5975,TUT-5975,,-14.337026,-170.710782,-14.337026,-170.710782,2023,2023,19-Apr-23,AGR,Benthic
52047,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1081,TAU-1081,OCC-TAU-001,-14.210865,-169.440638,-14.21085,-169.44061,2023,2023,1-Aug-23,,Oceanography
52048,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1081,TAU-1081,OCC-TAU-001,-14.210898,-169.440844,-14.21085,-169.44061,2023,2023,1-Aug-23,,Oceanography
52052,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1082,TAU-1082,OCC-TAU-003,-14.212971,-169.441879,-14.21299,-169.44177,2023,2023,1-Aug-23,,Oceanography
52132,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1083,TAU-1083,OCC-TAU-006,-14.22724404,-169.418195,-14.22724,-169.41872,2023,2023,6-Aug-23,,Oceanography
51963,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1084,TAU-1084,OCC-TAU-010,-14.257412,-169.501394,-14.25751,-169.50137,2023,2023,28-Jul-23,,Oceanography
51964,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1084,TAU-1084,OCC-TAU-010,-14.257403,-169.501514,-14.25751,-169.50137,2023,2023,28-Jul-23,,Oceanography
52170,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1085,TAU-1085,OCC-TAU-012,-14.257372,-169.500286,-14.25734,-169.50025,2023,2023,8-Aug-23,,Oceanography
52169,191,RA2301_LEG7,SAMOA,Tau,,,,,,TAU-1085,TAU-1085,OCC-TAU-012,-14.256879,-169.50058,-14.25734,-169.50025,2023,2023,8-Aug-23,,Oceanography
51814,190,RA2301_LEG6,SAMOA,Tutuila,,,,,,TUT-5006,TUT-5006,OCC-TUT-003,-14.245595,-170.660451,-14.24558,-170.66046,2023,2023,8-Jul-23,,Oceanography
51808,190,RA2301_LEG6,SAMOA,Tutuila,,,,,,TUT-5006,TUT-5006,OCC-TUT-003,-14.244925,-170.660191,-14.24558,-170.66046,2023,2023,8-Jul-23,,Oceanography
